Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.0,Sat Jan 27 20:47:04 +0000 2018,1.0,0.0,0.0,"🕺 @DarceyOfficial steps out of the world of ballet to pick two modern dance groups breaking new ground. 

Darcey Bu… https://t.co/fi88NAOtLK",56,@BBC
0.5106,Sat Jan 27 20:00:03 +0000 2018,0.68,0.0,0.32,Going out to gigs is... so... fun. 😐 https://t.co/hbsVsaroWT,57,@BBC
0.765,Sat Jan 27 19:39:46 +0000 2018,0.691,0.0,0.309,"RT @BBCFOUR: Frank, dramatic, yet often surprisingly funny, Holocaust survivor Freddie Knoller tells his personal story of being a young Je…",58,@BBC
-0.6124,Sat Jan 27 19:00:07 +0000 2018,0.8,0.2,0.0,"More than a third of young women say they are too embarrassed to have a smear test, according to a survey of 2000 w… https://t.co/9ILFLe97vb",59,@BBC
0.5574,Sat Jan 27 18:30:09 +0000 2018,0.787,0.0,0.213,"What's it like working with @BTS_twt? 

Meet the choreographer who helped create some of their most incredible danc… https://t.co/F2rEEOSZZA",60,@BBC
0.5267,Sat Jan 27 18:25:43 +0000 2018,0.805,0.0,0.195,RT @bbcthree: 12 year old Campbell believes always being kind can change the world. https://t.co/2mRxlpPlNs,61,@BBC
0.0,Sat Jan 27 18:22:11 +0000 2018,1.0,0.0,0.0,RT @bbcarts: Latest Banksy graffiti unveiled in Hull https://t.co/DdwT8Yc7z0,62,@BBC
0.5719,Sat Jan 27 18:13:51 +0000 2018,0.793,0.0,0.207,"RT @BBCOne: Top tip: When you’re about to blow up Tom Cruise, you better get your timing right. #TheGNShow https://t.co/BCjUEW7vor",63,@BBC
0.6124,Sat Jan 27 18:12:39 +0000 2018,0.643,0.0,0.357,"RT @BBCSpringwatch: Dipper diving beneath the ice, pure bliss 💚 #Winterwatch https://t.co/I4MfNhfaaO",64,@BBC
0.0,Sat Jan 27 18:12:09 +0000 2018,1.0,0.0,0.0,RT @BBCNewsbeat: Kenya's ice hockey stars have the winter Olympics in their sights ❄🥇🏒🇰🇪 https://t.co/6cHwBZmdRf,65,@BBC
0.5563,Sat Jan 27 18:08:00 +0000 2018,0.69,0.0,0.31,RT @bbcthree: The most talented man in Britain. https://t.co/I0goacRww0,66,@BBC
